temp,hum,pres,lux,uv,prec,label
23.93,45.29,1002,86.67,1,0,rice
23.84,45.14,1001.99,95,1,0,rice
24.06,52.9,1002,72.5,1,0,rice
24.06,45.29,1002,87.5,1,0,rice
24.03,45.17,1001.96,87.5,1,0,rice
24.06,45.14,1001.97,88.33,1,0,rice
24.05,45.26,1002,88.33,1,0,rice
23.99,44.65,1001.99,87.5,1,0,rice
24.06,46.85,1001.99,87.5,1,0,rice
24.2,48.85,1002,85,1,0,rice
24.32,48.92,1001.98,82.5,1,0,rice
24.38,50.04,1001.95,87.5,1,0,rice
24.41,50.01,1001.91,84.17,1,0,rice
24.49,50.41,1001.93,72.5,1,0,rice
24.58,50.17,1001.93,87.5,1,0,rice
24.63,49.07,1001.95,87.5,1,0,rice
24.67,50.35,1001.92,88.33,1,0,rice
24.73,50.81,1001.9,83.33,1,0,rice
24.74,50.45,1001.95,79.17,1,0,rice
24.85,50.1,1001.93,88.33,1,0,rice
24.87,49.88,1001.93,88.33,1,0,rice
24.91,50.78,1001.93,89.17,1,0,rice
24.87,50.03,1001.89,90,1,0,rice
24.81,48.34,1001.92,90,1,0,rice
24.73,47.15,1001.87,73.33,1,0,rice
24.65,46.56,1001.86,89.17,1,0,rice
24.51,46.26,1001.84,88.33,1,0,rice
24.46,45.95,1001.86,89.17,1,0,rice
24.49,45.92,1001.83,89.17,1,0,rice
24.46,45.66,1001.85,88.33,1,0,rice
24.36,45.59,1001.83,85,1,0,rice
24.8,62.62,1001.85,49.17,1,0,rice
24.72,46.75,1001.79,71.67,1,0,rice
24.76,46.48,1001.79,82.5,0,0,rice
24.85,46.17,1001.77,88.33,0,0,rice
24.83,45.4,1001.78,88.33,0,0,rice
24.89,45.58,1001.72,87.5,0,0,rice
24.91,45.38,1001.76,88.33,0,0,rice
24.99,45.4,1001.76,87.5,0,0,rice
25.04,45.53,1001.71,88.33,0,0,rice
25.1,45.45,1001.75,59.17,0,0,rice
25.13,45.76,1001.71,50.83,0,0,rice
25.18,45.62,1001.76,70,0,0,rice
25.2,45.58,1001.74,79.17,0,0,rice
25.22,45.5,1001.71,87.5,0,0,rice
25.22,45.45,1001.73,86.67,0,0,rice
25.26,45.31,1001.68,87.5,0,0,rice
25.27,45.3,1001.66,90,0,0,rice
25.32,45.26,1001.67,87.5,0,0,rice
25.34,45.25,1001.64,88.33,0,0,rice
25.36,45.41,1001.66,75.83,0,0,rice
25.38,44.99,1001.67,87.5,0,0,rice
25.44,47.1,1001.67,89.17,0,0,rice
25.46,48.64,1001.67,90,0,0,rice
25.46,48.42,1001.66,35,0,0,rice
25.48,48.97,1001.65,45.83,0,0,rice
25.47,49.62,1001.66,65.83,0,0,rice
25.45,48.96,1001.65,70.83,0,0,rice
25.45,48.97,1001.66,90,0,0,rice
25.35,49.48,1001.61,89.17,0,0,rice
25.38,49.85,1001.63,89.17,0,0,rice
25.3,49.65,1001.65,89.17,0,0,rice
25.33,49.68,1001.63,63.33,0,0,rice
25.34,49,1001.64,88.33,0,0,rice
25.3,48.83,1001.58,85,0,0,rice
25.35,49.15,1001.59,90,0,0,rice
25.32,48.67,1001.61,84.17,0,0,rice
25.28,49.25,1001.61,85.83,0,0,rice
25.27,48.94,1001.58,89.17,0,0,rice
25.32,48.83,1001.6,89.17,0,0,rice
25.26,48.01,1001.59,89.17,0,0,rice
25.32,49.08,1001.59,90,0,0,rice
25.32,48.35,1001.55,90.83,0,0,rice
25.33,48.41,1001.55,72.5,0,0,rice
25.35,48.45,1001.56,90.83,0,0,rice
25.31,48.34,1001.55,90.83,0,0,rice
25.36,47.97,1001.57,90.83,0,0,rice
25.32,47.98,1001.59,90.83,0,0,rice
25.36,47.75,1001.56,91.67,0,0,rice
25.33,47.41,1001.56,90.83,0,0,rice
25.35,47.65,1001.55,90.83,0,0,rice
25.34,47.45,1001.55,91.67,0,0,rice
25.32,47.73,1001.54,90.83,0,0,rice
25.42,47.57,1001.54,91.67,0,0,rice
25.44,47.29,1001.54,91.67,0,0,rice
25.46,47.12,1001.55,90.83,0,0,rice
25.47,46.74,1001.57,90.83,0,0,rice
25.46,46.41,1001.51,91.67,0,0,rice
25.43,46.2,1001.53,90.83,0,0,rice
25.42,46.34,1001.56,90.83,0,0,rice
25.39,46.33,1001.55,85,0,0,rice
25.48,46.32,1001.56,91.67,0,0,rice
25.49,46.36,1001.54,90,0,0,rice
25.51,46.25,1001.58,90.83,0,0,rice
25.5,46.01,1001.54,90.83,0,0,rice
25.56,46.22,1001.53,91.67,0,0,rice
25.56,45.8,1001.54,90.83,0,0,rice
25.54,46.03,1001.54,91.67,0,0,rice
25.58,46.8,1001.52,90.83,0,0,rice
25.62,46.99,1001.5,90.83,0,0,rice
25.63,46.84,1001.53,90.83,0,0,rice
25.66,46.87,1001.47,91.67,0,0,rice
25.65,46.57,1001.48,92.5,0,0,rice
25.65,46.85,1001.48,91.67,0,0,wheat
25.67,46.72,1001.47,91.67,0,0,wheat
25.64,47.05,1001.47,91.67,0,0,wheat
25.67,47.3,1001.44,91.67,0,0,wheat
25.7,47.17,1001.42,92.5,0,0,wheat
25.65,46.63,1001.42,92.5,0,0,wheat
25.67,47.04,1001.44,91.67,0,0,wheat
25.67,46.86,1001.4,92.5,0,0,wheat
25.66,47.22,1001.41,91.67,0,0,wheat
25.69,46.64,1001.37,91.67,0,0,wheat
25.74,47.1,1001.38,92.5,0,0,wheat
25.73,46.96,1001.4,92.5,0,0,wheat
25.76,46.76,1001.41,92.5,0,0,wheat
25.72,46.23,1001.36,91.67,0,0,wheat
25.68,46.68,1001.38,92.5,0,0,wheat
25.7,47.04,1001.4,91.67,0,0,wheat
25.73,46.69,1001.36,91.67,0,0,wheat
25.77,46.23,1001.35,91.67,0,0,wheat
25.77,46.96,1001.37,90.83,0,0,wheat
25.72,46.51,1001.36,92.5,0,0,wheat
25.73,46.53,1001.35,91.67,0,0,wheat
25.72,46.57,1001.34,92.5,0,0,wheat
25.8,46.73,1001.37,92.5,0,0,wheat
25.81,46.75,1001.34,91.67,0,0,wheat
25.8,46.76,1001.37,92.5,0,0,wheat
25.82,46.5,1001.34,91.67,0,0,wheat
25.8,46.27,1001.37,92.5,0,0,wheat
25.85,46.36,1001.37,91.67,0,0,wheat
25.8,45.8,1001.34,92.5,0,0,wheat
25.82,45.48,1001.34,91.67,0,0,wheat
25.8,46.08,1001.37,91.67,0,0,wheat
25.89,45.95,1001.34,92.5,0,0,wheat
25.89,45.86,1001.33,92.5,0,0,wheat
25.91,45.68,1001.35,91.67,0,0,wheat
25.87,45.53,1001.36,91.67,0,0,wheat
25.85,45.84,1001.38,92.5,0,0,wheat
25.88,45.52,1001.42,91.67,0,0,wheat
25.88,45.62,1001.36,91.67,0,0,wheat
25.88,45.58,1001.4,91.67,0,0,wheat
25.89,45.5,1001.39,91.67,0,0,wheat
25.89,45.73,1001.41,92.5,0,0,wheat
25.85,45.64,1001.4,91.67,0,0,wheat
25.89,44.99,1001.41,91.67,0,0,wheat
25.87,45.34,1001.42,90.83,0,0,wheat
25.86,45.18,1001.39,90.83,0,0,wheat
25.82,44.82,1001.41,91.67,0,0,wheat
25.84,45.02,1001.42,91.67,0,0,wheat
25.83,44.88,1001.37,91.67,0,0,wheat
25.78,45.27,1001.39,92.5,0,0,wheat
25.77,45.11,1001.34,91.67,0,0,wheat
25.8,45.33,1001.36,91.67,0,0,wheat
25.83,45.14,1001.36,92.5,0,0,wheat
25.87,44.86,1001.38,93.33,0,0,wheat
25.89,44.85,1001.36,92.5,0,0,wheat
25.89,44.47,1001.36,92.5,0,0,wheat
25.86,43.75,1001.34,91.67,0,0,wheat
25.84,43.92,1001.34,90.83,0,0,wheat
25.79,43.83,1001.34,90.83,0,0,wheat
25.75,43.65,1001.35,90,0,0,wheat
25.74,43.53,1001.35,90.83,0,0,wheat
25.77,43.27,1001.34,90,0,0,wheat
25.76,43.32,1001.35,89.17,0,0,wheat
25.72,42.29,1001.34,90,0,0,wheat
25.68,42.51,1001.37,89.17,0,0,wheat
25.65,42.62,1001.38,89.17,0,0,wheat
25.68,42.98,1001.39,89.17,0,0,wheat
25.68,42.95,1001.37,88.33,0,0,wheat
25.67,43.02,1001.41,88.33,0,0,wheat
25.67,42.48,1001.41,88.33,0,0,wheat
25.69,42.68,1001.36,89.17,0,0,wheat
25.68,43.3,1001.35,89.17,0,0,wheat
25.69,42.18,1001.36,87.5,0,0,wheat
25.71,42.42,1001.34,88.33,0,0,wheat
25.67,42.02,1001.39,87.5,0,0,wheat
25.7,42.44,1001.39,87.5,0,0,wheat
25.73,42.21,1001.4,85.83,0,0,wheat
25.71,42.45,1001.41,87.5,0,0,wheat
25.77,43.11,1001.43,85,0,0,wheat
25.78,42.34,1001.47,85.83,0,0,wheat
25.78,42.94,1001.41,75,0,0,wheat
25.8,42.99,1001.45,74.17,0,0,wheat
25.82,42.73,1001.45,74.17,0,0,wheat
25.83,42.84,1001.44,74.17,0,0,wheat
25.85,42.65,1001.47,67.5,0,0,wheat
25.77,42.03,1001.46,70.83,0,0,wheat
25.78,42.7,1001.48,71.67,0,0,wheat
25.8,43.12,1001.5,72.5,0,0,wheat
25.82,43,1001.53,71.67,0,0,wheat
25.76,43.42,1001.54,71.67,0,0,wheat
25.75,43.3,1001.52,71.67,0,0,wheat
25.77,43.24,1001.51,71.67,0,0,wheat
